node_id,lat,lon
300396139, 46.533245, 6.5833566
616664579, 46.5189457, 6.6502814
564116092, 46.5206935, 6.622519
310150599, 46.5324596, 6.6767681
568419406, 46.5091303, 6.6362897
594739731, 46.521264, 6.6224912
267519620, 46.5338706, 6.6261162
268432816, 46.5176344, 6.603826
4601311676, 46.5332698, 6.6289687
575172252, 46.5317656, 6.6177568
574495012, 46.5171205, 6.612312
281507710, 46.5101166, 6.6603394
4982357303, 46.5515392, 6.5790682
563021306, 46.5169356, 6.6349211
752218787, 46.5109443, 6.6587105
5316147494, 46.5210475, 6.6144039
394659244, 46.5080457, 6.6385652
1642345972, 46.5292758, 6.5646269
580022354, 46.5150595, 6.6257571
1006223521, 46.5158146, 6.499269
1668081901, 46.5334729, 6.6098222
3692484477, 46.5521425, 6.5736369
616385301, 46.5193413, 6.6463388
995681989, 46.5411968, 6.627558
253089032, 46.5360745, 6.5809724
2472637535, 46.584246, 6.6394903
595272011, 46.5173548, 6.6194512
1404729190, 46.5231107, 6.6318571
1153377745, 46.5631985, 6.6046503
1423972041, 46.5334331, 6.5803426
599526100, 46.5310271, 6.6179918
3062903686, 46.529356, 6.6006561
598974890, 46.5298568, 6.6166002
4187685953, 46.5510141, 6.5660598
1565076502, 46.5062213, 6.6695089
454536277, 46.5874661, 6.6416679
320010774, 46.5162037, 6.6915155
563240556, 46.5237684, 6.6016051
252983168, 46.5320287, 6.5880559
1141513410, 46.5143596, 6.7004949
564447968, 46.5105465, 6.6258543
258490071, 46.5403226, 6.5815466
567872247, 46.5116525, 6.6228255
565051368, 46.5347133, 6.6491484
504484808, 46.5526882, 6.6935686
315363514, 46.5213796, 6.682492
385437409, 46.5420222, 6.6401671
4242872125, 46.5315322, 6.6177042
5060486247, 46.5198791, 6.658864
1434065603, 46.543275, 6.6623476
384903286, 46.558409, 6.68003
3409211512, 46.5267414, 6.6385605
662214755, 46.5504548, 6.6352187
3364674329, 46.5515906, 6.6791888
274345172, 46.5228742, 6.6074052
504968, 46.5199321, 6.6128816
617182778, 46.527885, 6.6458967
2340266950, 46.5544226, 6.5630191
1062350480, 46.4871993, 6.722317
5234538635, 46.5149285, 6.6533587
35295133, 46.521481, 6.6368794
599010285, 46.536429, 6.6191128
573250849, 46.5316256, 6.6353776
626590118, 46.5396635, 6.6483504
257179644, 46.5944526, 6.5594783
1444350723, 46.5359266, 6.5807809
590409381, 46.5197655, 6.6324521
3310996200, 46.5748455, 6.7224936
329748117, 46.4930298, 6.7536163
312430038, 46.5527454, 6.6933426
60406065, 46.5633056, 6.562891
